Epoch number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Loss,1.4023653469085693,1.0202930784225464,0.81399597673416135,0.69077278776168827,0.63241552677154544,0.58529402232170102,0.54906346449851995,0.52842989206314084,0.51754348025321961,0.48940009856224059,0.48221970043182372,0.47353302557468413,0.46650125215053556,0.45500111441612245,0.45279178113937379
Test accuracy,0.66369999999999996,0.75060000000000004,0.79330000000000001,0.83879999999999999,0.86029999999999995,0.86829999999999996,0.87460000000000004,0.87529999999999997,0.87649999999999995,0.88100000000000001,0.88290000000000002,0.88449999999999995,0.88500000000000001,0.8861,0.88870000000000005
Epoch time,3.110239028930664,0.5536351203918457,0.5165269374847412,0.5257689952850342,0.5497829914093018,0.5258629322052002,0.5148699283599854,0.5055861473083496,0.5159690380096436,0.5057370662689209,0.514854907989502,0.5939009189605713,0.5489168167114258,0.5024380683898926,0.49381089210510254
Epoch number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Loss,0.35180281792879103,0.25851548835337163,0.21784764000624418,0.17945304197445511,0.1629731453962624,0.14411154078654945,0.13591824113838374,0.1225253712290898,0.11272637445861473,0.10371108917705715,0.1103348935729824,0.094332429956179117,0.090629152068216354,0.090559416132443588,0.085910429098131139
Test accuracy,0.9032,0.92589999999999995,0.93310000000000004,0.9476,0.95009999999999994,0.95469999999999999,0.95750000000000002,0.96079999999999999,0.9647,0.96860000000000002,0.96599999999999997,0.9718,0.97150000000000003,0.97130000000000005,0.9738
Epoch time,3.60160493850708,1.4546599388122559,1.396751880645752,1.3352501392364502,1.44740891456604,1.4270548820495605,1.4579448699951172,1.398550033569336,1.3921170234680176,1.4128689765930176,1.4208009243011475,1.4128758907318115,1.436345100402832,1.476135015487671,1.4887480735778809
Epoch number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Loss,0.26225843934714793,0.16003981006219983,0.13432796989046036,0.12298911438714713,0.09656448005791754,0.083981442568264897,0.078474582086596634,0.08007510975003243,0.085420937786530704,0.083786083940649403,0.064218670288426802,0.064111533048679115,0.057449223083909602,0.062759651204664257,0.068422282005357563
Test accuracy,0.92010000000000003,0.9516,0.95889999999999997,0.9627,0.97019999999999995,0.97340000000000004,0.9748,0.97370000000000001,0.97219999999999995,0.97240000000000004,0.97909999999999997,0.97940000000000005,0.98250000000000004,0.98080000000000001,0.97840000000000005
Epoch time,18.254207849502563,17.747472047805786,16.932454109191895,19.18145489692688,17.052352905273438,17.91198182106018,18.32036304473877,19.30725908279419,17.494715929031372,17.0971839427948,17.08540105819702,18.990670919418335,17.4643771648407,16.39535403251648,17.83234691619873
